Curso,Diurno,Integral,Noturno,Média
Mecânica,2.2: Indiferente,0.7: Insatisfeito,3.3: Satisfeito,1.1: Insatisfeito
Produção,2.5: Indiferente,1.3: Insatisfeito,3.5: Muito sat.,2.1: Indiferente
Química,2.7: Satisfeito,1.6: Indiferente,3.7: Muito sat.,2.8: Satisfeito
Civil,2.9: Satisfeito,1.8: Indiferente,3.8: Muito sat.,3.3: Satisfeito
Computação,3.0: Satisfeito,1.9: Indiferente,3.8: Muito sat.,3.5: Muito sat.
Elétrica,3.2: Satisfeito,1.7: Indiferente,3.9: Muito sat.,3.9: Muito sat.
Média,2.7: Satisfeito,1.1: Insatisfeito,3.8: Muito sat.,2.6: Satisfeito
