,Desvio padrão amostral (N de sal. mín.),Desvio padrão amostral * sqrt(N),Erro (%)
Desvio padrão médio de amostragem de tamanho 4,0.5631314835309335,1.126262967061867,4.623640618642599
Desvio padrão médio de amostragem de tamanho 16,0.2867272767369718,1.1469091069478872,2.8752446265912335
Desvio padrão médio de amostragem de tamanho 64,0.15222043406407457,1.2177634725125965,3.1249805707862954
Desvio padrão médio de amostragem de tamanho 256,0.07186800138726103,1.1498880221961765,2.6229784155937796
Desvio padrão populacional,1.18086, -,0
